Question,Intent
តើប្រាប់ពីតម្លៃសិក្សារបស់សាលាស៉ីអេឌីធី,
តើប្រាប់ពីតម្លៃសិក្សារបស់សាលាCADT,
តើខ្ញុំចង់ដឹងពីតម្លៃពីតម្លៃសិក្សារបស់សាលាស៉ីអេឌីធី,
តើខ្ញុំចង់ដឹងពីតម្លៃពីតម្លៃសិក្សារបស់សាលាCADT,
តើសូមប្រាប់ខ្ញុំពីតម្លៃសិក្សារបស់សាលាស៉ីអេឌីធី,
តើសូមប្រាប់ខ្ញុំពីតម្លៃសិក្សារបស់សាលាCADT,
តើសាលាស៉ីអេឌីធីបង់តម្លៃសិក្សាប៉ុន្មាន ថូម៉ាស,
តើសាលាស៉ីអេឌីធីបង់តម្លៃសិក្សាប៉ុន្មាន ផីធឺ,
តើសាលាស៉ីអេឌីធីបង់តម្លៃសិក្សាប៉ុន្មាន រ៉ូបូត,
តើសាលាស៉ីអេឌីធីបង់តម្លៃសិក្សាយ៉ាងដូចម្ដេច ថូម៉ាស,
តើសាលាស៉ីអេឌីធីបង់តម្លៃសិក្សាយ៉ាងដូចម្ដេច ផីធឺ,
តើសាលាស៉ីអេឌីធីបង់តម្លៃសិក្សាយ៉ាងដូចម្ដេច រ៉ូបូត,
តើសាលាស៉ីអេឌីធីបង់តម្លៃសិក្សាយ៉ាងដូចម្ដេចដែរ ថូម៉ាស,
តើសាលាស៉ីអេឌីធីបង់តម្លៃសិក្សាយ៉ាងដូចម្ដេចដែរ ផីធឺ,
តើសាលាស៉ីអេឌីធីបង់តម្លៃសិក្សាយ៉ាងដូចម្ដេចដែរ រ៉ូបូត,
តើសាលាស៉ីអេឌីធីមានតម្លៃសិក្សាប៉ុន្មាន ថូម៉ាស,
តើសាលាស៉ីអេឌីធីមានតម្លៃសិក្សាប៉ុន្មាន ផីធឺ,
តើសាលាស៉ីអេឌីធីមានតម្លៃសិក្សាប៉ុន្មាន រ៉ូបូត,
តើសាលាស៉ីអេឌីធីមានតម្លៃសិក្សាយ៉ាងដូចម្ដេច ថូម៉ាស,
តើសាលាស៉ីអេឌីធីមានតម្លៃសិក្សាយ៉ាងដូចម្ដេច ផីធឺ,
តើសាលាស៉ីអេឌីធីមានតម្លៃសិក្សាយ៉ាងដូចម្ដេច រ៉ូបូត,
តើសាលាស៉ីអេឌីធីមានតម្លៃសិក្សាយ៉ាងដូចម្ដេចដែរ ថូម៉ាស,
តើសាលាស៉ីអេឌីធីមានតម្លៃសិក្សាយ៉ាងដូចម្ដេចដែរ ផីធឺ,
តើសាលាស៉ីអេឌីធីមានតម្លៃសិក្សាយ៉ាងដូចម្ដេចដែរ រ៉ូបូត,
តើសាលាCADTបង់តម្លៃសិក្សាប៉ុន្មាន ថូម៉ាស,
តើសាលាCADTបង់តម្លៃសិក្សាប៉ុន្មាន ផីធឺ,
តើសាលាCADTបង់តម្លៃសិក្សាប៉ុន្មាន រ៉ូបូត,
តើសាលាCADTបង់តម្លៃសិក្សាយ៉ាងដូចម្ដេច ថូម៉ាស,
តើសាលាCADTបង់តម្លៃសិក្សាយ៉ាងដូចម្ដេច ផីធឺ,
តើសាលាCADTបង់តម្លៃសិក្សាយ៉ាងដូចម្ដេច រ៉ូបូត,
