Question,Intents,Intent
តើ/prt CADT/noun បាន/verb ប្រកាស់/verb ថា/conj មាន/verb ការ/noun ប្រកួត/verb ប្រជែង/verb អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt CADT/noun បាន/verb ប្រកាស់/verb ថា/conj មាន/verb Competition/noun អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt CADT/noun បាន/verb បង្កើត/verb នូវ/adp កម្ម/noun វិធី/noun ការ/noun ប្រកួត/verb ប្រជែង/verb អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt CADT/noun បាន/verb បង្កើត/verb នូវ/adp កម្ម/noun វិធី/noun Competition/noun អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt CADT/noun បាន/verb host/noun នូវ/adp កម្ម/noun វិធី/noun ការ/noun ប្រកួត/verb ប្រជែង/verb អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt CADT/noun បាន/verb host/noun នូវ/adp កម្ម/noun វិធី/noun Competition/noun អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt CADT/noun មាន/verb បាន/verb ប្រកាស់/verb ថា/conj មាន/verb ការ/noun ប្រកួត/verb ប្រជែង/verb អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt CADT/noun មាន/verb បាន/verb ប្រកាស់/verb ថា/conj មាន/verb Competition/noun អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt CADT/noun មាន/verb បង្កើត/verb នូវ/adp កម្ម/noun វិធី/noun ការ/noun ប្រកួត/verb ប្រជែង/verb អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt CADT/noun មាន/verb បង្កើត/verb នូវ/adp កម្ម/noun វិធី/noun Competition/noun អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt CADT/noun មាន/noun host/noun នូវ/adp កម្ម/noun វិធី/noun ការ/noun ប្រកួត/verb ប្រជែង/verb អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt CADT/noun មាន/noun host/noun នូវ/adp កម្ម/noun វិធី/noun Competition/noun អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt សាលា/noun CADT/noun បាន/verb ប្រកាស់/verb ថា/conj មាន/verb ការ/noun ប្រកួត/verb ប្រជែង/verb អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt សាលា/noun CADT/noun បាន/verb ប្រកាស់/verb ថា/conj មាន/verb Competition/noun អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt សាលា/noun CADT/noun បាន/verb បង្កើត/verb នូវ/adp កម្ម/noun វិធី/noun ការ/noun ប្រកួត/verb ប្រជែង/verb អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt សាលា/noun CADT/noun បាន/verb បង្កើត/verb នូវ/adp កម្ម/noun វិធី/noun Competition/noun អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt សាលា/noun CADT/noun បាន/verb host/noun នូវ/adp កម្ម/noun វិធី/noun ការ/noun ប្រកួត/verb ប្រជែង/verb អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt សាលា/noun CADT/noun បាន/verb host/noun នូវ/adp កម្ម/noun វិធី/noun Competition/noun អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt សាលា/noun CADT/noun មាន/verb បាន/verb ប្រកាស់/verb ថា/conj មាន/verb ការ/noun ប្រកួត/verb ប្រជែង/verb អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt សាលា/noun CADT/noun មាន/verb បាន/verb ប្រកាស់/verb ថា/conj មាន/verb Competition/noun អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt សាលា/noun CADT/noun មាន/verb បង្កើត/verb នូវ/adp កម្ម/noun វិធី/noun ការ/noun ប្រកួត/verb ប្រជែង/verb អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
តើ/prt សាលា/noun CADT/noun មាន/verb បង្កើត/verb នូវ/adp កម្ម/noun វិធី/noun Competition/noun អ្វី/noun ខ្លះ/adj ?/punct,AskAboutCompetition,
